Word,POS,Definition
"๓. ผีกระสือ, ผีชนิดหนึ่งที่ถือว่าเข้าสิงในตัวผู้หญิง ชอบกินสิ่งโสโครก",,
"กละ, กล้า, ผี กละ (ส.ฎ., ภ.ก., พ.ง.), ผีกล้า (ส.ข.)",,ก็เรียก.
๔. น้ำลายสอ,,
น้ำลายพะ (ช.พ.),,ก็เรียก.
"ว. ซา, เบา เช่น ฝนกระ - ฝนซา",,
ตระ,,ก็ว่า.
กระเกรียม,ก.,เตรียม (ดู เกรียม
กระเกรียม,ก.,).
กระแจ,น.,๑. กุญแจ (ดู ลูกแจ).
กระแจ,น.,"ลูกกะแจ, ลูกไข."
กระชั้ง,น.,กระดุมเสื้อยาหยา (ดู กอสั้ง).
กระเชอ,น.,ภาชนะสานด้วยไม้ไผ่หรือเตยใช้ใส่ของ (ดู จง
กระเชอ,น.,๑.).
กระเช้าผีมด,น.,ชื่อไม้พุ่มชนิดหนึ่ง (ดู หัวร้อยรู).
กระติ้น,น.,ชื่อนกชนิดหนึ่ง (ดู หัวขวาน).
กระตือ,น.,ปลาเนื้ออ่อน (ดู ตือ).
กระแตแหล,น.,มะม่วงหิมพานต์ (ดูยาร่วง).
กระเถิบ,ก.,กระถด (ดู ถด).
กระทงเหิน,น.,หัวหน่าว (ดู เหฺมฺรา
กระทงเหิน,น.,๒.).
กระท้อยนางรำ,น.,กลการเล่นเชิงไสยศาสตร์ใช้เวทมนตร์อย่างหนึ่ง.
กระบับ,ก.,กระเดียด (ดู แคละ).
กระโปก,น.,อัณฑะ (ดู ลูกไข
กระโปก,น.,๑.).
กระพกรก,น.,กระทกรก (ดู รกช้าง).
กระเพาะปลา,น.,ชื่อไม้เลื้อย ขึ้นในดินเลนค่อนข้างแข็ง จะเลื้อยพันกับไม้อื่น ไม่พบการนำมาใช้ประโยชน์.
