Word,Alternative Forms,POS,Definition
"ว. แห้งกรอบ, เปราะ โดยปริยายหมายถึงยากจน ยอบแยบ เช่น เดือนนี้กรอบจัง - เดือนนี้ยอบแยบจัง",,,
กร็อบแกร็บ (ภ.ก.),ก็ว่า.,,
กร็อบแกร็บ,,ว.,"ว. แห้งกรอบ, ยอบแยบ (ดู กรอบ, ว.)."
กรอม,,น.,"น., เครื่องมือชนิดหนึ่ง ที่ใช้ไม้ไผ่สานเป็นรูป กรวยบ้าง รูปโคมบ้าง ใช้ประโยชน์ต่าง ๆ กัน เช่น ดักนก จับกบ จับปู ขังสัตว์ปีก เป็นต้น., เครื่องมือสอยผลไม้ทำเป็นรูปอย่าง, น. ๑ แต่ขนาดเล็ก"
"กร้อ, กะ",ก็เรียก.,,
"ก. สวม, คร่อม, ครอบ (ดู กรวม.). ว. เศร้าโศก, เป็นทุกข์, ตรอม เช่น กรอมใจ.",,,
ตรอม,ก็ว่า.,,
กรอย,,น.,"น. น้ำรสฝาด., ว. กร่อย,ไม่จืดสนิทหรือไม่หวานสนิทเพราะมีรสเค็มเจือ, จืดชืด ไม่มีรสชาติ, ไม่มีชีวิตชีวา"
ตรอย,ก็ว่า.,,
กระ,,น.,"น., ชื่อเต่าทะเลชนิดหนึ่ง หลังเป็นเกล็ดแผ่นโต ๆ ดูเหมือนซ้อนเหลื่อมกันอย่างกระเบื้องมุงหลังคา สีน้ำตาลลายเหลือง ปากงุ้มคล้ายปากเหยี่ยว ขาแบนเป็นพาย มีไข่กลม เปลือกนิ่มเหนียว ไข่ตามชายหาดครั้งละ ๑๕๐ - ๒๕๐ ฟอง., ชื่อส้มชนิดหนึ่ง ลักษณะอย่างส้มจุก รสเปรี้ยวจัดอย่างมะนาว"
"จังกระ, บังกระ (น.ศ.), เคยขาว, ล้มเคยขาว (ช.พ.)",ก็เรียก.,,
"๓. ผีกระสือ, ผีชนิดหนึ่งที่ถือว่าเข้าสิงในตัวผู้หญิง ชอบกินสิ่งโสโครก",,,
"กละ, กล้า, ผี กละ (ส.ฎ., ภ.ก., พ.ง.), ผีกล้า (ส.ข.)",ก็เรียก.,,
๔. น้ำลายสอ,,,
น้ำลายพะ (ช.พ.),ก็เรียก.,,
"ว. ซา, เบา เช่น ฝนกระ - ฝนซา",,,
ตระ,ก็ว่า.,,
กระเกรียม,,ก.,"ก. เตรียม (ดู เกรียม, ก.)."
กระแจ,,น.,"น., กุญแจ (ดู ลูกแจ)., ลูกกะแจ, ลูกไข."
กระชั้ง,,น.,น. กระดุมเสื้อยาหยา (ดู กอสั้ง).
กระเชอ,,น.,"น. ภาชนะสานด้วยไม้ไผ่หรือเตยใช้ใส่ของ (ดู จง, น., )."
กระเช้าผีมด,,น.,น. ชื่อไม้พุ่มชนิดหนึ่ง (ดู หัวร้อยรู).
กระติ้น,,น.,น. ชื่อนกชนิดหนึ่ง (ดู หัวขวาน).
กระตือ,,น.,น. ปลาเนื้ออ่อน (ดู ตือ).
กระแตแหล,,น.,น. มะม่วงหิมพานต์ (ดูยาร่วง).
กระเถิบ,,ก.,ก. กระถด (ดู ถด).
กระทงเหิน,,น.,"น. หัวหน่าว (ดู เหฺมฺรา, น., )."
กระท้อยนางรำ,,น.,น. กลการเล่นเชิงไสยศาสตร์ใช้เวทมนตร์อย่างหนึ่ง.
กระบับ,,ก.,ก. กระเดียด (ดู แคละ).
กระโปก,,น.,"น. อัณฑะ (ดู ลูกไข, น., )."
กระพกรก,,น.,น. กระทกรก (ดู รกช้าง).
