Word,Alternative Forms,POS,Definition
กระเพาะปลา,,น.,น. ชื่อไม้เลื้อย ขึ้นในดินเลนค่อนข้างแข็ง จะเลื้อยพันกับไม้อื่น ไม่พบการนำมาใช้ประโยชน์.
กระยา,,น.,"น. นกกระจาบ, ชื่อนกขนาดเล็กเช่นเดียวกับนกกระจอก ทำรังด้วยหญ้า ห้อยอยู่กับกิ่งไม้ ปากรังอยู่ด้านล่าง มักอยู่รวมกันเป็นหมู่ กินเมล็ดพืช (น.ธ.)."
กระสั้ง,,น.,น. กระดุมเสื้อยาหยา (ดู กอสั้ง).
กระสุนพระอินทร์,,น.,น. ชื่อกล้วยไม้อิงอาศัยบนต้นไม้อื่น วงศ์ Orchidaceae ใบเดี่ยว ดอกเล็กมากสีเขียว.
กระหมึง,,ว.,ว. กระมัง
"กะหมึง, หมึง",ก็ว่า.,,
กระหลากา,,ว.,"ว. เลวทราม, ต่ำช้า."
กระอาน,,น.,น. ชื่อเต่าน้ำกร่อย สามารถปรับตัวอยู่ในน้ำจืดได้ พบเฉพาะภาคใต้ มีมากในทะเลสาบสงขลา.
กรักขี,,น.,น. ชื่อไม้เถาเนื้อแข็งชนิดหนึ่ง (ดู ขรี).
กรัง,,น.,"น., ปะการัง, ชื่อสัตว์ทะเลไม่มีกระดูกสันหลังจำพวกเดียวกับดอกไม้ทะเล รูปร่างทรงกระบอกส่วนใหญ่มีขนาดเล็ก อยู่รวมกันเป็นกระจุก สร้างหินปูนออกมาพอกทับถมกันเป็นโครงรูปร่างต่าง ๆ อาศัยและเจริญเติบโตในทะเลตื้นเขตร้อน เช่น กรังดอกไม้ กรังตาเขียด กรังผักกาด กรังรังผึ้ง กรังสมอง กรังหนังแรด กรังอ่อน กรังเขากวาง กรังเห็ด กรังแหวน กรังสิ่ว กรังลูกสน กรังปากโถน กรังแพรากไม้ กรังดอกเข็ม กรังเม็ดมุก เป็นต้น., หินใต้น้ำที่โผล่ขึ้นเวลาน้ำลด., กะละปังหา, ชาก ของสัตว์ทะเลไม่มีกระดูกสันหลังขนาดเล็ก เกาะรวมกันอยู่ในลักษณะคล้ายกิ่งไม้ มีหลายสี เช่น แดง เหลือง ส้ม ม่วง ดำ"
"กรังกรอบ, กัลปังหา, กันปะหา, กันหา",ก็เรียก.,,
๔. ตะกอน. ก. เกรอะกรัง คั่ง.,,,
กรั้ง,,น.,น. ชื่อปลาน้ำจืดชนิดหนึ่ง คล้ายปลาช่อน แต่ตัวเล็กกว่า สีคล้ำ
อ้ายกลั้ง,ก็เรียก.,,
กรังกรอบ,,น.,"น. กะละปังหา (ดู กรัง, น., )"
กรัน,,ก.,"ก. ยัน, ยันไว้, ค้ำไว้"
ตรัน,ก็ว่า.,,
กรับ,,น.,"น., กรับ, ไม้สำหรับตีหรือขยับเป็นจังหวะในการฟ้อนรำขับร้อง."
กรับพวง,,น.,น. กรับชนิดหนึ่ง ทำด้วยไม้แผ่นบาง ๆ หลาย ๆ อัน และมีไม้แก่นประกบ ๒ ข้างอย่างด้ามพัด ตอนหัวข้างหนึ่งเจาะรูร้อยเชือก เวลาตีใช้มือข้างหนึ่งจับตรงหัวทางเชือกร้อยแล้ว ฟาดข้างหนึ่งลงบนฝ่ามืออีกข้างหนึ่ง สำหรับตีเป็นจังหวะ ประกอบการฟ้อนรำและขับร้อง.
๒. ปลาสลิด (ก.บ.). ก. ติดแนบ เช่น แห้งกรับกระดูก - แห้งแนบกระดูก.,,,
กรา,,น.,"น. ตรา, เครื่องหมายที่มีลวดลายและทำเป็นรูปต่าง ๆ สำหรับประทับเป็นสำคัญ., ก. ติดคั่ง, อุดตัน เช่น หยะกราทางน้ำ - ขยะติดคั่งทางน้ำ."
กราก,,น.,"น. ขี้กลาก, ชื่อโรคผิวหนังชนิดหนึ่ง เกิดจากเชื้อรา ขึ้นเป็นวง มีอาการคัน., ก. ตรากตรำ."
กราง,,น.,"น., บุ้ง, เครื่องมือสำหรับถูไม้ ทำด้วยเหล็ก มีฟันปุ่มแหลมคม., คราด (ดู ราด, น., )., ก., ถูหรือขูดโดยใช้ของที่มีลักษณะเป็นซี่ เช่น หนามกราง - หนามขูด., ขูดหรือขีดด้วยของแหลม., กรอง (ดู กรอง, ก., )., สาง, ทำให้หายยุ่ง., ตากทิ้งไว้ให้แห้ง., เสื่อม (ดู ตราง, ก.)., ว. จาง (ดู ตราง, ว.)."
กร้าง,,น.,น. ชื่อตัวตลกในหนังตะลุง รูปร่างผอม (ภ.ก.).
กราด,,น.,"น., ไม้กวาดที่ทำด้วยไม้ไผ่ผ่าเป็นซี่ ๆ (ดู ตราด)., เครื่องมือชนิดหนึ่ง สำหรับแทงปลา., ก., ตอก หรือรัดให้แน่น., พ่นน้ำนกหรือไก่แล้วเอาออก ตากแดด., ล่ามสัตว์ทิ้งไว้ เช่น เอาควายกราดไว้กลางแดด., ว., กราด, ซัดส่ายไปโดยไม่เจาะจง, ทั่วไป เช่น อิงกราด, ด่ากราด"
ตราด,ก็ว่า,,
"๒. แคระแกร็น, ซูบผอม เช่นไม้ต้นนี้กราดจัง - ต้นไม้นี้แคระแกร็นมาก, แด็กนี้กราดจัง - เด็กคนนี้แคระแกร็นมาก.",,,
กราตา,,น.,น. ชื่อไม้ต้น วงศ์ Anacardiaceae ใบประกอบปลายคี่ ดอกเล็ก สีขาวอมเขียวถึงสีนวล ผลค่อนข้างกลมเมื่อแก่สีแดง.
กราน,,น.,"น. เชิงตะกอน, ฐานที่ทำขึ้นสำหรับเผาศพ., ก. ค้ำ, ยัน (ดู ตรัน, ก., )."
กรามช้าง,,น.,"น., เครื่องมือสำหรับหนีบอ้อยหรือคั้นกะทิ., หินชนิดหนึ่งคล้ายกระดูกกรามช้าง."
กรามตะบัน,,น.,น. เหล็กตะบันหมาก.
กรามพู,,น.,"น. กานพลู, ชื่อไม้ต้นขนาดกลาง ดอกตูม มีรสเผ็ด ตากแห้งแล้วใช้เป็นเครื่องเทศและทำยา."
